step,stage,machine_id,machine_age,in_maintenance,maintenance_timer,failed,buffer_level,wips_in_machine,wips_held,action,reward
101,0,1,2.0,0,0,0,900,100,0,0,-12000.0
101,1,2,0.0,1,2,0,600,0,0,1,-12000.0
101,1,3,2.0,0,0,0,600,100,0,0,-12000.0
102,0,0,0.0,1,1,0,800,0,0,0,-8000.0
102,0,1,3.0,0,0,0,800,100,0,0,-8000.0
102,1,2,0.0,1,1,0,700,0,0,0,-8000.0
102,1,3,0.0,1,2,0,700,0,0,1,-8000.0
103,0,0,1.0,0,0,0,700,100,0,0,-7000.0
103,0,1,0.0,1,2,0,700,0,0,1,-7000.0
103,1,2,1.0,0,0,0,700,100,0,0,-7000.0
103,1,3,0.0,1,1,0,700,0,0,0,-7000.0
104,0,0,2.0,0,0,0,1400,100,0,0,-10960.0
104,0,1,0.0,1,1,0,1400,0,0,1,-10960.0
104,1,2,0.0,1,2,0,700,0,0,1,-10960.0
104,1,3,1.0,0,0,0,700,100,0,1,-10960.0
105,0,0,0.0,1,2,0,1300,0,0,1,-13000.0
105,0,1,1.0,0,0,0,1300,100,0,0,-13000.0
105,1,2,0.0,1,1,0,800,0,0,0,-13000.0
105,1,3,0.0,1,2,0,800,0,0,1,-13000.0
106,0,0,0.0,1,1,0,1200,0,0,0,-2000.0
106,0,1,2.0,0,0,0,1200,100,0,0,-2000.0
106,1,2,1.0,0,0,0,800,100,0,1,-2000.0
106,1,3,0.0,1,1,0,800,0,0,1,-2000.0
107,0,0,1.0,0,0,0,1100,100,0,0,-12000.0
107,0,1,0.0,1,2,0,1100,0,0,1,-12000.0
107,1,2,0.0,1,2,0,800,0,0,1,-12000.0
107,1,3,1.0,0,0,0,800,100,0,0,-12000.0
108,0,0,0.0,1,2,0,1100,0,0,1,-8000.0
108,0,1,0.0,1,1,0,1100,0,0,0,-8000.0
108,1,2,0.0,1,1,0,800,0,0,1,-8000.0
108,1,3,2.0,0,0,0,800,100,0,0,-8000.0
109,0,0,0.0,1,1,0,1000,0,0,1,-7000.0
109,0,1,1.0,0,0,0,1000,100,0,1,-7000.0
109,1,2,1.0,0,0,0,700,100,0,0,-7000.0
109,1,3,0.0,1,2,0,700,0,0,1,-7000.0
110,0,0,1.0,0,0,0,800,100,0,1,-7000.0
110,0,1,2.0,0,0,0,800,100,0,0,-7000.0
110,1,2,0.0,1,2,0,800,0,0,1,-7000.0
110,1,3,0.0,1,1,0,800,0,0,0,-7000.0
111,0,0,0.0,1,2,0,1400,0,0,1,-11470.0
111,0,1,3.0,0,0,0,1400,100,0,0,-11470.0
111,1,2,0.0,1,1,0,900,0,0,1,-11470.0
111,1,3,1.0,0,0,0,900,100,0,1,-11470.0
112,0,0,0.0,1,1,0,1400,0,0,0,-7000.0
112,0,1,0.0,1,2,0,1400,0,0,1,-7000.0
